sender_user_id,receiver_account,receiver_account_timestamp,receiver_quote,receiver_quote_timestamp,receiver_policy,receiver_policy_timestamp,sender_earned_amount_in_dollars,receiver_earned_amount_in_dollars
8c37f11b-b892-48a5-96d1-650cbc5b9bb1,1,4/5/2018,0,,0,,,
20d6677b-9352-4195-b9e2-7897e34c7ff1,1,3/20/2018,1,4/6/2018,0,,50,50
5c3a3470-53ea-4ff4-b166-b80816130bff,1,3/13/2018,1,3/27/2018,0,,50,25
d88c9d5f-ee03-4bf7-9586-7cbf76285643,1,4/28/2018,0,,0,,,
877baf00-5269-4ab4-baa1-53f62cad3ee2,1,1/31/2018,0,,0,,,
ead998ac-950e-4d28-9655-3d1b6f269eac,1,4/12/2018,0,,0,,,
f4ec44af-83cb-43c3-aaee-16318bdb9be1,1,4/27/2018,0,,0,,,
0f7342a0-d36f-4980-8a76-ed2cef4bb321,1,3/22/2018,0,,0,,,
e4c5bb6e-f9ae-4b24-b569-dd4ac5c220d8,1,4/21/2018,0,,0,,,
34e70dbb-2fb7-4617-9de4-7f7699e046ec,1,3/18/2018,1,3/31/2018,0,,25,25
b4942130-4501-4188-95f1-187eed9ac3cc,1,4/22/2018,0,,0,,,
dfa422f2-e3b8-4be5-b488-7148570e141a,1,3/10/2018,0,,0,,,
50f8253b-861c-4314-8e48-b6f64d1ee0d9,1,4/28/2018,0,,0,,,
8418b27e-6d9b-4a31-9379-0ac9842260b9,1,4/18/2018,0,,0,,,
48c555bb-01b9-473e-90c6-cd8b643e7f06,1,1/31/2018,0,,0,,,
6df3fe0c-ce19-4d6e-9c84-29e30c90aa98,1,3/17/2018,1,4/1/2018,1,4/12/2018,25,25
a4dfd4de-e1a8-4ca1-8080-1d37f358f578,1,4/4/2018,1,4/18/2018,0,,50,50
6df3fe0c-ce19-4d6e-9c84-29e30c90aa98,1,3/2/2018,0,,0,,,
730ab00e-1c08-491d-b988-3ca70021f99f,1,3/24/2018,0,,0,,,
d9c4e570-6a82-47cd-8880-c87ac39bb64e,1,2/19/2018,1,3/12/2018,1,3/12/2018,25,25
c41cf82e-9dc7-44f9-bbd6-170bcc73bde0,1,5/1/2018,0,,0,,,
a4da12ac-3778-42bf-85a9-3c4f28921230,1,4/12/2018,0,,0,,,
9adcb509-7eed-4723-998f-de5d49dd6adb,1,5/3/2018,0,,0,,,
3f761f7b-e0c4-4d85-8a47-8860e668c0bf,1,4/28/2018,0,,0,,,
1c5fc082-6a49-4815-bfab-3272057b962b,1,3/1/2018,1,3/29/2018,0,,50,50
90436e2a-031a-4722-8d18-a490695e60bc,1,5/1/2018,0,,0,,,
45e8bfb6-62d8-48f6-bfa1-4919b4b1947c,1,4/29/2018,0,,0,,,
9a2452d4-e8fa-4a68-af99-743be4396578,1,4/6/2018,0,,0,,,
56e22370-4f14-40e3-b7e1-29a775573f4f,1,3/12/2018,0,,0,,,
7d38ef00-298d-4bb6-89a9-2df021d169aa,1,4/22/2018,0,,0,,,
98a3a16a-685d-4c3d-96d8-33a1b3f9631d,1,3/26/2018,1,4/22/2018,1,4/24/2018,25,25
5a9da3bb-4e75-4478-b390-e7da0272578e,1,3/28/2018,0,,0,,,
9e51ed0a-b575-4927-b0f5-b722af826141,1,3/15/2018,1,4/13/2018,1,4/24/2018,50,50
d0c0d714-e89c-4648-b3df-0c1c8a8d176e,1,4/10/2018,0,,0,,,
8b3496ed-860c-4378-8dce-add86d042199,1,3/15/2018,0,,0,,,
9ff896a3-e6a1-48a5-8cd2-f1a4520317f6,1,3/23/2018,1,4/13/2018,0,,25,25
5ed33075-36ef-4d3a-be96-2ce4209fdca0,1,4/16/2018,1,5/5/2018,0,,25,25
